"Please wait....","Please wait...."
"Max image size (Width and Height px.)","Max image size (Width and Height px.)"
"Product Preview Pro","Product Preview Pro"
"General","General"
"Show in categories","Show in categories"
"If no category specified, product preview is displayed in all categories","If no category specified, product preview is displayed in all categories"
"Enable for new categories","Enable for new categories"
"Show product title","Show product title"
"Image loading indicator","Image loading indicator"
"If no value specified, 300px is set up by default","If no value specified, 300px is set up by default"
"Delay time before preview displaying (ms)","Delay time before preview displaying (ms)"
"If no value specified, 500ms is set up by default","If no value specified, 500ms is set up by default"
